Date,g,s,e,n,c,j
2/1/2007,640.75,13.01,1.3286,6.1809,1.2125,118.83
3/1/2007,636.75,12.91,1.3169,6.2598,1.2263,119.58
4/1/2007,625.25,12.62,1.3094,6.3229,1.2314,119.28
5/1/2007,626,12.7,1.3005,6.3513,1.2366,118.77
8/1/2007,608.3,12.21,1.3023,6.3592,1.2357,118.49
9/1/2007,612,12.36,1.2995,6.3536,1.2417,119.45
10/1/2007,610.75,12.45,1.294,6.4363,1.2459,119.52
11/1/2007,613.5,12.41,1.2904,6.4728,1.2482,120.49
12/1/2007,614.1,12.43,1.2926,6.4623,1.2485,120.36
16/1/2007,625.6,12.84,1.2918,6.4348,1.248,120.64
17/1/2007,623.25,12.55,1.2948,6.439,1.2456,120.54
18/1/2007,632.8,12.84,1.2942,6.4693,1.2496,121.32
19/1/2007,629,12.72,1.2968,6.4446,1.2479,121.22
22/1/2007,635.1,12.865,1.2957,6.4476,1.2484,121.56
23/1/2007,637.5,13.09,1.3025,6.4026,1.2404,121.54
24/1/2007,643,13.2,1.2964,6.3514,1.2481,120.77
25/1/2007,648.75,13.38,1.298,6.3108,1.2439,120.97
26/1/2007,645.7,13.22,1.2909,6.3304,1.2534,121.53
29/1/2007,643.4,13.25,1.2948,6.3007,1.2528,121.81
30/1/2007,642.25,13.15,1.2954,6.2857,1.253,121.7
31/1/2007,645.75,13.36,1.2998,6.2606,1.247,121.02
1/2/2007,652.55,13.58,1.3021,6.2376,1.2427,120.67
2/2/2007,654.75,13.66,1.296,6.2674,1.2476,121.02
5/2/2007,648,13.29,1.2933,6.275,1.2481,120.34
6/2/2007,653.9,13.66,1.2969,6.2474,1.2414,120.35
7/2/2007,655.25,13.65,1.302,6.216,1.2398,120.65
8/2/2007,650.55,13.53,1.3034,6.2269,1.2471,121.19
9/2/2007,657.85,13.84,1.3005,6.255,1.2484,121.59
12/2/2007,663.35,13.78,1.2962,6.2455,1.2532,121.77
13/2/2007,664.75,13.79,1.3024,6.2146,1.2489,121.24
14/2/2007,668.25,13.96,1.3126,6.1614,1.2399,120.8
15/2/2007,670,13.98,1.314,6.1651,1.2362,119.49
16/2/2007,665.25,13.9,1.3137,6.1173,1.2341,119.23
20/2/2007,668.6,13.9,1.3134,6.1365,1.2369,120.1
21/2/2007,658.6,13.74,1.3126,6.1427,1.2393,120.99
22/2/2007,676.4,14.25,1.3134,6.1414,1.2383,121.3
23/2/2007,677.5,14.28,1.3164,6.1246,1.2332,121.1
26/2/2007,684.5,14.58,1.3159,6.1161,1.2327,120.76
27/2/2007,684.5,14.49,1.3246,6.1115,1.2205,118.67
28/2/2007,677,14.31,1.323,6.1316,1.2189,118.33
1/3/2007,673.6,14.29,1.3173,6.1551,1.2226,117.53
2/3/2007,664,13.53,1.3182,6.1607,1.2173,116.82
5/3/2007,638.6,12.605,1.3094,6.25,1.2218,116.01
6/3/2007,644.6,12.935,1.3108,6.2226,1.2241,116.5
7/3/2007,646.35,12.89,1.3148,6.1983,1.2208,116.41
8/3/2007,653.75,13.09,1.3129,6.201,1.2287,117.35
9/3/2007,653.85,13.07,1.3118,6.178,1.2332,118.15
12/3/2007,652.5,12.97,1.3186,6.1347,1.225,117.51
13/3/2007,650.5,12.92,1.3199,6.129,1.2218,116.96
14/3/2007,640.75,12.65,1.3227,6.1404,1.2139,116.33
15/3/2007,646.1,12.9,1.3249,6.1263,1.2142,117.26
16/3/2007,650.65,13.07,1.3307,6.1113,1.2079,116.77
19/3/2007,654.5,13.16,1.3299,6.1271,1.2125,117.58
20/3/2007,654.4,13.25,1.3291,6.1573,1.2137,117.32
21/3/2007,660.5,13.33,1.3305,6.1586,1.2151,117.83
22/3/2007,664,13.375,1.3359,6.0967,1.2115,117.79
23/3/2007,662.15,13.37,1.3302,6.1007,1.2169,117.82
26/3/2007,659.65,13.26,1.3336,6.0864,1.2144,117.84
27/3/2007,665.15,13.34,1.3357,6.0994,1.213,117.8
28/3/2007,665.6,13.36,1.3331,6.0802,1.2147,116.83
29/3/2007,664.9,13.34,1.3336,6.091,1.2166,117.75
30/3/2007,663.5,13.35,1.3374,6.0774,1.2126,117.56
2/4/2007,663.3,13.335,1.3374,6.0992,1.2139,117.69
3/4/2007,663.5,13.28,1.3363,6.1114,1.2192,118.83
4/4/2007,665.9,13.45,1.3364,6.1178,1.2194,118.72
5/4/2007,672.6,13.58,1.3426,6.0698,1.2145,118.66
10/4/2007,676.85,13.84,1.3436,6.0259,1.2165,119.07
11/4/2007,679.1,13.92,1.3436,6.0259,1.2194,119.36
12/4/2007,678.5,13.84,1.3484,5.9994,1.2157,118.99
13/4/2007,677,13.88,1.3518,5.9914,1.2154,119.27
16/4/2007,687.25,14.09,1.355,5.9551,1.2132,119.84
17/4/2007,688,13.96,1.3569,5.9554,1.2092,118.96
18/4/2007,690.4,13.96,1.3574,5.9725,1.2056,118.27
19/4/2007,687.25,13.835,1.3605,5.9622,1.2044,118.36
20/4/2007,687.6,13.87,1.3601,5.956,1.2081,118.81
23/4/2007,691,13.86,1.358,5.9664,1.2088,118.47
24/4/2007,689.7,14.03,1.3622,5.949,1.2031,118.52
25/4/2007,686.2,13.79,1.3647,5.9612,1.203,118.62
26/4/2007,685.5,13.66,1.359,5.9823,1.2092,119.5
27/4/2007,672.5,13.35,1.3625,5.9676,1.2081,119.59
30/4/2007,678,13.5,1.366,5.9441,1.2064,119.44
1/5/2007,677.5,13.45,1.36,5.9702,1.2151,119.77
2/5/2007,673.25,13.18,1.3598,5.9682,1.2138,120.05
3/5/2007,675.9,13.33,1.3566,5.9823,1.2151,120.33
4/5/2007,680.8,13.4,1.3587,5.9695,1.2115,120.16
8/5/2007,685.9,13.48,1.3532,6.0115,1.2182,119.89
9/5/2007,686.5,13.45,1.3549,6.0076,1.2165,119.8
10/5/2007,677.85,13.29,1.3512,6.0512,1.2192,120.37
11/5/2007,667.85,13.04,1.3519,6.0475,1.2188,120.19
14/5/2007,674.2,13.19,1.3544,6.0524,1.2194,120.37
15/5/2007,667,13.02,1.3603,6.0101,1.2135,120.22
16/5/2007,670.9,13.16,1.3522,6.045,1.222,120.74
17/5/2007,663.2,12.9,1.3494,6.0592,1.2268,121.3
18/5/2007,660.75,12.87,1.3511,6.0468,1.2267,121.09
21/5/2007,662.4,12.93,1.3457,6.0669,1.2306,121.57
22/5/2007,663.5,13.07,1.3464,6.0385,1.23,121.47
23/5/2007,659.2,12.96,1.3482,6.0157,1.2266,121.52
24/5/2007,661.5,13.04,1.3429,6.0318,1.2294,121.46
25/5/2007,655,12.925,1.3452,6.0159,1.2281,121.72
29/5/2007,657.6,13.03,1.3483,6.0114,1.2227,121.79
30/5/2007,657.1,13.11,1.3419,6.0716,1.2259,121.48
31/5/2007,656.6,13.25,1.3453,6.0403,1.2252,121.76
1/6/2007,662.5,13.53,1.344,6.0253,1.2299,122.1
4/6/2007,670.75,13.67,1.3488,5.9847,1.2231,121.72
5/6/2007,671.3,13.71,1.3526,5.9705,1.2187,121.49
6/6/2007,669.8,13.69,1.3492,5.9887,1.2176,121.08
7/6/2007,670.85,13.65,1.3456,5.9889,1.2243,121.34
8/6/2007,656.75,13.31,1.3359,6.0677,1.2345,121.62
11/6/2007,652.75,13.16,1.3359,6.0615,1.2386,121.78
12/6/2007,652.8,13.15,1.3325,6.0862,1.2424,121.76
