date,y1,y2
1993/12/27 - 1994/01/02,61.32,62.93
1994/01/03 - 1994/01/09,62.56,64.21
1994/01/10 - 1994/01/16,62.71,64.45
1994/01/17 - 1994/01/23,64.6,66.24
1994/01/24 - 1994/01/30,65.55,67.25
1994/01/31 - 1994/02/06,68.91,70.83
1994/02/07 - 1994/02/13,70.17,72.17
1994/02/14 - 1994/02/20,68.84,70.75
1994/02/21 - 1994/02/27,69.41,71.21
1994/02/28 - 1994/03/06,69.88,71.72
1994/03/07 - 1994/03/13,72.76,74.78
1994/03/14 - 1994/03/20,73.38,75.44
1994/03/21 - 1994/03/27,74.31,76.43
1994/03/28 - 1994/04/03,74.67,76.81
1994/04/04 - 1994/04/10,72.73,74.51
1994/04/11 - 1994/04/17,72.85,74.93
1994/04/18 - 1994/04/24,72.15,74.18
1994/04/25 - 1994/05/01,70.19,72.08
1994/05/02 - 1994/05/08,71.51,73.47
1994/05/09 - 1994/05/15,69.23,71.05
1994/05/16 - 1994/05/22,69.31,71.14
1994/05/23 - 1994/05/29,70.77,72.69
1994/05/30 - 1994/06/05,69.75,71.89
1994/06/06 - 1994/06/12,70.65,72.85
1994/06/13 - 1994/06/19,69.65,71.79
1994/06/20 - 1994/06/26,69.46,71.58
1994/06/27 - 1994/07/03,67.75,69.77
1994/07/04 - 1994/07/10,64.75,66.57
1994/07/11 - 1994/07/17,64.79,66.62
1994/07/18 - 1994/07/24,65.87,67.76
1994/07/25 - 1994/07/31,66.53,68.47
1994/08/01 - 1994/08/07,67.75,69.76
1994/08/08 - 1994/08/14,65.09,66.94
1994/08/15 - 1994/08/21,66.64,68.58
1994/08/22 - 1994/08/28,66.89,68.85
1994/08/29 - 1994/09/04,66.29,68.21
1994/09/05 - 1994/09/11,67.36,69.35
1994/09/12 - 1994/09/18,66.87,68.72
1994/09/19 - 1994/09/25,66.12,67.89
1994/09/26 - 1994/10/02,65.74,67.48
1994/10/03 - 1994/10/09,66.52,68.33
1994/10/10 - 1994/10/16,66.22,68
1994/10/17 - 1994/10/23,67.06,68.91
1994/10/24 - 1994/10/30,65.6,67.32
1994/10/31 - 1994/11/06,66.25,68.04
1994/11/07 - 1994/11/13,66.79,68.61
1994/11/14 - 1994/11/20,65.9,67.65
1994/11/21 - 1994/11/27,65.36,67.07
1994/11/28 - 1994/12/04,64.35,66.14
1994/12/05 - 1994/12/11,65.38,67.05
1994/12/12 - 1994/12/18,63.49,65
1994/12/19 - 1994/12/25,61.35,62.84
1994/12/26 - 1995/01/01,60.73,62.17
1995/01/02 - 1995/01/08,59.15,60.46
1995/01/09 - 1995/01/15,60.44,61.86
1995/01/16 - 1995/01/22,58.89,60.27
1995/01/23 - 1995/01/29,58.27,59.68
